minuto,jugador,equipo,liga,tipo_intervencion,estadio,arbitro,decision_inicial,decision_final,resultado_correcto
57,Jugador_312,Manchester City,Premier League,silent check,Tottenham Stadium,Dean,gol,penal,1
68,Jugador_105,Liverpool,Premier League,silent check,Etihad,Oliver,gol,gol,0
16,Jugador_213,Tottenham,Premier League,on-field review,Emirates,Tello,roja,roja,1
36,Jugador_273,River,Argentina,on-field review,Monumental,Atkinson,penal,penal,1
92,Jugador_359,Arsenal,Premier League,silent check,Stamford Bridge,Tello,roja,gol,0
36,Jugador_104,Liverpool,Premier League,silent check,Tottenham Stadium,Tello,offside,offside,0
72,Jugador_6,River,Argentina,silent check,Tomás Ducó,Dean,roja,gol,0
23,Jugador_363,Racing,Argentina,on-field review,Libertadores de América,Rapallini,roja,roja,1
61,Jugador_23,Arsenal,Premier League,silent check,Emirates,Taylor,penal,penal,0
62,Jugador_86,Rosario Central,Argentina,on-field review,Monumental,Dean,penal,penal,0
54,Jugador_44,San Lorenzo,Argentina,on-field review,Monumental,Oliver,gol,roja,1
3,Jugador_491,Aston Villa,Premier League,on-field review,Etihad,Taylor,gol,offside,1
40,Jugador_266,Newells,Argentina,on-field review,Monumental,Dean,penal,penal,0
19,Jugador_407,Huracán,Argentina,on-field review,Tomás Ducó,Lousteau,roja,gol,1
92,Jugador_319,Newells,Argentina,silent check,Nuevo Gasómetro,Pitana,offside,offside,0
27,Jugador_17,Arsenal,Premier League,silent check,Stamford Bridge,Dean,penal,offside,1
93,Jugador_450,River,Argentina,silent check,Libertadores de América,Oliver,penal,roja,1
21,Jugador_334,Manchester United,Premier League,on-field review,Tottenham Stadium,Oliver,penal,penal,1
15,Jugador_131,Newcastle,Premier League,on-field review,Old Trafford,Dean,penal,offside,0
91,Jugador_224,Aston Villa,Premier League,silent check,Stamford Bridge,Tello,offside,penal,0
53,Jugador_48,Rosario Central,Argentina,silent check,Bombonera,Lousteau,offside,gol,1
17,Jugador_177,River,Argentina,on-field review,Monumental,Atkinson,penal,penal,1
61,Jugador_122,Boca,Argentina,silent check,Bombonera,Tello,roja,gol,0
3,Jugador_223,San Lorenzo,Argentina,silent check,Nuevo Gasómetro,Taylor,roja,penal,1
21,Jugador_270,Newcastle,Premier League,silent check,Tottenham Stadium,Dean,gol,penal,0
30,Jugador_48,Aston Villa,Premier League,on-field review,Old Trafford,Lousteau,penal,roja,1
76,Jugador_109,Aston Villa,Premier League,on-field review,Emirates,Oliver,penal,offside,1
51,Jugador_216,Rosario Central,Argentina,silent check,Nuevo Gasómetro,Pitana,penal,penal,0
1,Jugador_374,Aston Villa,Premier League,silent check,Stamford Bridge,Atkinson,penal,offside,1
26,Jugador_49,Liverpool,Premier League,on-field review,Etihad,Tello,roja,offside,0
72,Jugador_295,Boca,Argentina,silent check,Bombonera,Dean,gol,offside,0
38,Jugador_80,Newcastle,Premier League,on-field review,Tottenham Stadium,Dean,offside,gol,0
26,Jugador_478,River,Argentina,on-field review,Nuevo Gasómetro,Oliver,penal,roja,1
30,Jugador_401,Independiente,Argentina,on-field review,Tomás Ducó,Oliver,offside,offside,0
35,Jugador_381,Tottenham,Premier League,on-field review,Etihad,Lousteau,gol,offside,1
84,Jugador_353,Boca,Argentina,silent check,Nuevo Gasómetro,Oliver,gol,offside,0
61,Jugador_262,Manchester City,Premier League,on-field review,Anfield,Rapallini,offside,penal,0
41,Jugador_398,Manchester United,Premier League,on-field review,Old Trafford,Atkinson,penal,penal,0
67,Jugador_7,River,Argentina,on-field review,Monumental,Pitana,roja,penal,1
26,Jugador_142,Boca,Argentina,silent check,Monumental,Taylor,offside,penal,0
35,Jugador_154,San Lorenzo,Argentina,silent check,Bombonera,Atkinson,roja,roja,1
63,Jugador_392,Newells,Argentina,silent check,Nuevo Gasómetro,Rapallini,offside,offside,0
58,Jugador_394,Manchester City,Premier League,on-field review,Tottenham Stadium,Lousteau,gol,gol,0
26,Jugador_43,Manchester United,Premier League,silent check,Tottenham Stadium,Tello,roja,offside,1
88,Jugador_343,Aston Villa,Premier League,silent check,Emirates,Atkinson,penal,gol,1
30,Jugador_473,Boca,Argentina,silent check,Nuevo Gasómetro,Rapallini,gol,roja,1
80,Jugador_296,River,Argentina,silent check,Cilindro,Dean,offside,penal,0
24,Jugador_351,San Lorenzo,Argentina,silent check,Cilindro,Oliver,gol,roja,0
80,Jugador_36,Huracán,Argentina,on-field review,Bombonera,Taylor,offside,offside,0
75,Jugador_307,River,Argentina,silent check,Libertadores de América,Rapallini,offside,roja,1
63,Jugador_66,Aston Villa,Premier League,on-field review,Anfield,Taylor,penal,penal,0
85,Jugador_428,Rosario Central,Argentina,on-field review,Tomás Ducó,Tello,offside,penal,1
10,Jugador_292,Tottenham,Premier League,on-field review,Emirates,Lousteau,gol,gol,0
9,Jugador_301,San Lorenzo,Argentina,on-field review,Cilindro,Atkinson,penal,penal,0
30,Jugador_305,River,Argentina,silent check,Cilindro,Atkinson,gol,offside,1
34,Jugador_117,Independiente,Argentina,on-field review,Nuevo Gasómetro,Pitana,penal,gol,1
74,Jugador_405,Liverpool,Premier League,silent check,Old Trafford,Dean,penal,roja,0
40,Jugador_321,Newcastle,Premier League,on-field review,Anfield,Rapallini,offside,gol,0
35,Jugador_315,San Lorenzo,Argentina,on-field review,Nuevo Gasómetro,Lousteau,offside,penal,0
11,Jugador_229,Boca,Argentina,on-field review,Tomás Ducó,Lousteau,offside,roja,1
58,Jugador_112,Newells,Argentina,on-field review,Bombonera,Oliver,roja,penal,0
1,Jugador_411,Newcastle,Premier League,on-field review,Stamford Bridge,Tello,penal,penal,1
35,Jugador_154,Arsenal,Premier League,silent check,Anfield,Dean,gol,offside,0
6,Jugador_241,Newells,Argentina,on-field review,Libertadores de América,Rapallini,gol,roja,1
63,Jugador_422,Newells,Argentina,silent check,Tomás Ducó,Tello,roja,roja,0
62,Jugador_274,Newells,Argentina,on-field review,Tomás Ducó,Atkinson,penal,penal,0
92,Jugador_260,River,Argentina,on-field review,Bombonera,Dean,penal,penal,0
69,Jugador_169,San Lorenzo,Argentina,silent check,Nuevo Gasómetro,Pitana,roja,gol,0
7,Jugador_308,Liverpool,Premier League,on-field review,Emirates,Taylor,offside,offside,0
61,Jugador_352,Tottenham,Premier League,on-field review,Anfield,Atkinson,gol,gol,1
8,Jugador_266,Tottenham,Premier League,silent check,Old Trafford,Lousteau,offside,gol,0
46,Jugador_101,Chelsea,Premier League,on-field review,Anfield,Pitana,penal,roja,0
55,Jugador_225,Tottenham,Premier League,on-field review,Etihad,Tello,roja,penal,1
38,Jugador_275,Aston Villa,Premier League,on-field review,Emirates,Lousteau,gol,roja,0
67,Jugador_253,San Lorenzo,Argentina,on-field review,Monumental,Oliver,roja,gol,1
49,Jugador_354,San Lorenzo,Argentina,on-field review,Monumental,Pitana,roja,penal,0
76,Jugador_304,Liverpool,Premier League,silent check,Old Trafford,Dean,gol,gol,0
75,Jugador_334,Boca,Argentina,silent check,Bombonera,Dean,gol,roja,0
57,Jugador_163,San Lorenzo,Argentina,silent check,Cilindro,Rapallini,gol,offside,0
67,Jugador_305,Manchester City,Premier League,on-field review,Etihad,Atkinson,gol,penal,0
36,Jugador_144,Chelsea,Premier League,silent check,Etihad,Dean,offside,roja,1
75,Jugador_468,River,Argentina,on-field review,Cilindro,Tello,roja,gol,0
68,Jugador_353,Newcastle,Premier League,on-field review,Tottenham Stadium,Dean,penal,roja,0
10,Jugador_80,Huracán,Argentina,on-field review,Tomás Ducó,Pitana,roja,penal,0
36,Jugador_24,Chelsea,Premier League,silent check,Anfield,Oliver,penal,offside,1
45,Jugador_297,Aston Villa,Premier League,on-field review,Tottenham Stadium,Dean,gol,roja,0
53,Jugador_325,Racing,Argentina,on-field review,Libertadores de América,Atkinson,offside,roja,0
6,Jugador_435,Huracán,Argentina,silent check,Cilindro,Taylor,offside,gol,0
18,Jugador_317,Boca,Argentina,on-field review,Tomás Ducó,Rapallini,roja,gol,0
85,Jugador_310,Manchester City,Premier League,silent check,Etihad,Pitana,gol,roja,0
44,Jugador_120,Arsenal,Premier League,silent check,Emirates,Tello,gol,penal,1
84,Jugador_448,Liverpool,Premier League,silent check,Anfield,Tello,offside,offside,1
13,Jugador_416,Arsenal,Premier League,silent check,Old Trafford,Taylor,roja,offside,0
39,Jugador_487,Newcastle,Premier League,on-field review,Anfield,Rapallini,gol,roja,0
66,Jugador_443,Rosario Central,Argentina,on-field review,Tomás Ducó,Tello,gol,gol,1
3,Jugador_458,Liverpool,Premier League,silent check,Anfield,Taylor,roja,offside,1
15,Jugador_228,Independiente,Argentina,on-field review,Monumental,Pitana,offside,penal,0
23,Jugador_493,Boca,Argentina,silent check,Libertadores de América,Lousteau,roja,gol,0
93,Jugador_342,Liverpool,Premier League,silent check,Tottenham Stadium,Tello,gol,penal,0
36,Jugador_264,Manchester United,Premier League,on-field review,Emirates,Pitana,gol,offside,0
47,Jugador_342,Newells,Argentina,silent check,Bombonera,Dean,offside,roja,0
38,Jugador_312,Aston Villa,Premier League,on-field review,Stamford Bridge,Pitana,offside,gol,1
39,Jugador_78,Huracán,Argentina,on-field review,Nuevo Gasómetro,Pitana,roja,gol,1
69,Jugador_212,Chelsea,Premier League,silent check,Stamford Bridge,Dean,offside,offside,1
11,Jugador_224,Arsenal,Premier League,silent check,Etihad,Tello,roja,gol,0
49,Jugador_339,Racing,Argentina,on-field review,Libertadores de América,Rapallini,roja,roja,1
62,Jugador_268,Manchester United,Premier League,silent check,Stamford Bridge,Taylor,roja,gol,1
1,Jugador_440,Newcastle,Premier League,silent check,Stamford Bridge,Oliver,gol,gol,1
6,Jugador_393,Tottenham,Premier League,silent check,Old Trafford,Rapallini,offside,offside,0
43,Jugador_347,Huracán,Argentina,silent check,Tomás Ducó,Atkinson,roja,penal,0
66,Jugador_276,Newells,Argentina,on-field review,Tomás Ducó,Atkinson,gol,penal,1
94,Jugador_18,Chelsea,Premier League,on-field review,Old Trafford,Taylor,roja,offside,1
11,Jugador_22,River,Argentina,silent check,Tomás Ducó,Pitana,offside,offside,0
90,Jugador_53,Huracán,Argentina,silent check,Bombonera,Taylor,gol,gol,1
81,Jugador_74,Independiente,Argentina,on-field review,Libertadores de América,Pitana,penal,offside,1
39,Jugador_297,Independiente,Argentina,silent check,Monumental,Oliver,penal,gol,0
44,Jugador_103,Manchester United,Premier League,on-field review,Stamford Bridge,Oliver,offside,offside,0
61,Jugador_480,Boca,Argentina,on-field review,Nuevo Gasómetro,Dean,offside,penal,0
12,Jugador_211,Newells,Argentina,silent check,Bombonera,Tello,offside,offside,1
20,Jugador_224,Manchester United,Premier League,silent check,Tottenham Stadium,Tello,offside,roja,1
94,Jugador_338,Newcastle,Premier League,silent check,Anfield,Atkinson,gol,gol,1
36,Jugador_191,Arsenal,Premier League,on-field review,Anfield,Tello,roja,gol,0
67,Jugador_387,Racing,Argentina,silent check,Monumental,Atkinson,offside,offside,1
76,Jugador_322,Liverpool,Premier League,on-field review,Anfield,Rapallini,penal,gol,0
21,Jugador_175,Manchester City,Premier League,on-field review,Emirates,Rapallini,offside,gol,1
62,Jugador_463,Manchester City,Premier League,silent check,Emirates,Dean,offside,penal,0
25,Jugador_20,Manchester United,Premier League,on-field review,Old Trafford,Atkinson,penal,penal,0
90,Jugador_402,Manchester City,Premier League,silent check,Anfield,Lousteau,gol,penal,1
17,Jugador_442,Newells,Argentina,on-field review,Libertadores de América,Oliver,gol,gol,0
8,Jugador_265,River,Argentina,silent check,Cilindro,Atkinson,offside,offside,0
54,Jugador_136,Rosario Central,Argentina,silent check,Cilindro,Lousteau,gol,offside,1
50,Jugador_287,Huracán,Argentina,silent check,Libertadores de América,Atkinson,roja,roja,0
60,Jugador_351,Rosario Central,Argentina,silent check,Libertadores de América,Atkinson,gol,penal,0
23,Jugador_469,Chelsea,Premier League,silent check,Stamford Bridge,Oliver,penal,roja,0
92,Jugador_341,Newcastle,Premier League,silent check,Anfield,Dean,penal,roja,0
15,Jugador_458,Manchester United,Premier League,silent check,Old Trafford,Lousteau,roja,penal,1
32,Jugador_202,San Lorenzo,Argentina,silent check,Bombonera,Taylor,penal,gol,0
77,Jugador_131,Huracán,Argentina,on-field review,Nuevo Gasómetro,Taylor,penal,offside,0
72,Jugador_48,Manchester City,Premier League,on-field review,Tottenham Stadium,Dean,penal,roja,1
3,Jugador_117,Newells,Argentina,on-field review,Tomás Ducó,Oliver,penal,penal,1
11,Jugador_69,Arsenal,Premier League,on-field review,Old Trafford,Dean,roja,offside,1
64,Jugador_336,Liverpool,Premier League,silent check,Etihad,Pitana,roja,roja,0
48,Jugador_236,Newells,Argentina,silent check,Tomás Ducó,Atkinson,penal,offside,1
6,Jugador_85,Huracán,Argentina,on-field review,Nuevo Gasómetro,Rapallini,offside,roja,1
62,Jugador_162,San Lorenzo,Argentina,silent check,Cilindro,Dean,offside,offside,1
79,Jugador_421,Manchester City,Premier League,silent check,Etihad,Lousteau,penal,offside,0
1,Jugador_118,Aston Villa,Premier League,silent check,Etihad,Pitana,penal,offside,1
60,Jugador_21,Newcastle,Premier League,on-field review,Stamford Bridge,Oliver,penal,penal,0
8,Jugador_375,Chelsea,Premier League,silent check,Anfield,Tello,gol,offside,0
12,Jugador_9,Newcastle,Premier League,silent check,Emirates,Pitana,offside,penal,1
20,Jugador_222,Huracán,Argentina,silent check,Libertadores de América,Rapallini,roja,gol,0
11,Jugador_85,Tottenham,Premier League,on-field review,Etihad,Atkinson,penal,roja,0
31,Jugador_387,Manchester United,Premier League,on-field review,Anfield,Tello,roja,penal,0
1,Jugador_201,Newells,Argentina,silent check,Tomás Ducó,Tello,roja,gol,0
79,Jugador_339,San Lorenzo,Argentina,silent check,Libertadores de América,Atkinson,offside,roja,1
1,Jugador_130,Manchester United,Premier League,silent check,Emirates,Pitana,penal,gol,0
26,Jugador_62,Chelsea,Premier League,on-field review,Stamford Bridge,Oliver,offside,gol,0
9,Jugador_273,Independiente,Argentina,on-field review,Nuevo Gasómetro,Atkinson,offside,penal,1
63,Jugador_300,Independiente,Argentina,on-field review,Cilindro,Lousteau,penal,penal,0
36,Jugador_51,Liverpool,Premier League,on-field review,Stamford Bridge,Pitana,gol,offside,1
31,Jugador_451,Tottenham,Premier League,silent check,Emirates,Tello,offside,penal,1
84,Jugador_227,Manchester United,Premier League,on-field review,Old Trafford,Taylor,offside,offside,1
81,Jugador_105,Independiente,Argentina,silent check,Tomás Ducó,Taylor,gol,penal,1
35,Jugador_412,Huracán,Argentina,on-field review,Bombonera,Taylor,gol,gol,1
82,Jugador_220,Aston Villa,Premier League,on-field review,Old Trafford,Atkinson,roja,offside,0
13,Jugador_199,San Lorenzo,Argentina,on-field review,Cilindro,Dean,gol,penal,0
94,Jugador_318,Rosario Central,Argentina,on-field review,Libertadores de América,Dean,roja,penal,0
74,Jugador_116,Rosario Central,Argentina,on-field review,Monumental,Oliver,roja,penal,1
14,Jugador_221,Racing,Argentina,silent check,Tomás Ducó,Atkinson,offside,gol,1
73,Jugador_193,Manchester United,Premier League,on-field review,Anfield,Lousteau,roja,offside,1
10,Jugador_352,Manchester United,Premier League,silent check,Etihad,Tello,offside,penal,1
72,Jugador_225,Racing,Argentina,on-field review,Monumental,Rapallini,roja,roja,1
85,Jugador_337,Liverpool,Premier League,silent check,Emirates,Pitana,gol,penal,1
73,Jugador_198,Arsenal,Premier League,silent check,Anfield,Oliver,roja,offside,0
83,Jugador_256,Huracán,Argentina,on-field review,Cilindro,Oliver,penal,roja,1
3,Jugador_31,Manchester City,Premier League,silent check,Anfield,Pitana,penal,offside,1
11,Jugador_414,Boca,Argentina,on-field review,Tomás Ducó,Oliver,offside,roja,0
86,Jugador_326,Newcastle,Premier League,silent check,Anfield,Atkinson,gol,roja,0
83,Jugador_20,Liverpool,Premier League,silent check,Emirates,Tello,gol,offside,1
12,Jugador_488,Manchester United,Premier League,on-field review,Emirates,Oliver,gol,penal,1
67,Jugador_43,Manchester City,Premier League,silent check,Anfield,Pitana,penal,penal,0
1,Jugador_389,Liverpool,Premier League,silent check,Stamford Bridge,Oliver,roja,offside,0
82,Jugador_244,Aston Villa,Premier League,silent check,Old Trafford,Rapallini,penal,offside,0
11,Jugador_92,Chelsea,Premier League,silent check,Tottenham Stadium,Oliver,offside,penal,1
9,Jugador_357,Tottenham,Premier League,silent check,Stamford Bridge,Oliver,offside,gol,1
6,Jugador_96,Manchester United,Premier League,silent check,Stamford Bridge,Taylor,gol,gol,0
81,Jugador_494,Liverpool,Premier League,silent check,Stamford Bridge,Rapallini,penal,gol,0
4,Jugador_470,Aston Villa,Premier League,on-field review,Emirates,Pitana,offside,gol,0
76,Jugador_71,Manchester United,Premier League,silent check,Emirates,Taylor,penal,gol,0
76,Jugador_88,Manchester City,Premier League,silent check,Anfield,Dean,penal,gol,1
90,Jugador_136,Liverpool,Premier League,on-field review,Anfield,Oliver,offside,penal,1
65,Jugador_13,Newcastle,Premier League,on-field review,Old Trafford,Atkinson,penal,roja,0
9,Jugador_107,Boca,Argentina,silent check,Tomás Ducó,Tello,penal,roja,1
1,Jugador_178,Newcastle,Premier League,silent check,Tottenham Stadium,Atkinson,roja,penal,0
33,Jugador_271,San Lorenzo,Argentina,silent check,Nuevo Gasómetro,Atkinson,penal,gol,0
63,Jugador_98,Tottenham,Premier League,silent check,Etihad,Taylor,roja,gol,0
50,Jugador_361,Rosario Central,Argentina,on-field review,Cilindro,Rapallini,roja,roja,0
35,Jugador_353,Chelsea,Premier League,on-field review,Tottenham Stadium,Atkinson,penal,penal,0
71,Jugador_68,River,Argentina,silent check,Cilindro,Dean,penal,penal,0
20,Jugador_415,Manchester City,Premier League,silent check,Etihad,Oliver,roja,penal,0
26,Jugador_112,Manchester United,Premier League,on-field review,Old Trafford,Tello,penal,gol,0
24,Jugador_358,Liverpool,Premier League,silent check,Emirates,Atkinson,gol,offside,1
52,Jugador_435,Liverpool,Premier League,silent check,Stamford Bridge,Pitana,offside,penal,0
77,Jugador_287,Manchester City,Premier League,on-field review,Tottenham Stadium,Rapallini,roja,offside,1
12,Jugador_489,Manchester City,Premier League,on-field review,Stamford Bridge,Tello,penal,gol,0
47,Jugador_388,Independiente,Argentina,silent check,Cilindro,Dean,roja,penal,0
85,Jugador_168,Tottenham,Premier League,silent check,Etihad,Oliver,gol,penal,1
28,Jugador_131,Huracán,Argentina,on-field review,Cilindro,Dean,offside,gol,0
80,Jugador_284,Newells,Argentina,silent check,Tomás Ducó,Dean,offside,gol,1
36,Jugador_156,Chelsea,Premier League,on-field review,Anfield,Taylor,roja,offside,0
68,Jugador_368,Independiente,Argentina,silent check,Tomás Ducó,Rapallini,penal,offside,0
8,Jugador_17,San Lorenzo,Argentina,silent check,Monumental,Dean,penal,roja,1
12,Jugador_105,Liverpool,Premier League,silent check,Stamford Bridge,Tello,offside,roja,0
15,Jugador_31,Liverpool,Premier League,on-field review,Emirates,Dean,gol,gol,1
22,Jugador_81,Huracán,Argentina,silent check,Tomás Ducó,Taylor,gol,penal,1
63,Jugador_109,Independiente,Argentina,silent check,Cilindro,Lousteau,roja,gol,1
31,Jugador_127,Newells,Argentina,on-field review,Monumental,Oliver,roja,offside,1
74,Jugador_185,Boca,Argentina,on-field review,Tomás Ducó,Atkinson,offside,roja,0
24,Jugador_499,Newells,Argentina,on-field review,Cilindro,Tello,penal,roja,1
61,Jugador_57,Newcastle,Premier League,on-field review,Etihad,Dean,gol,penal,0
19,Jugador_196,Manchester United,Premier League,silent check,Emirates,Rapallini,offside,roja,1
17,Jugador_49,Newcastle,Premier League,silent check,Emirates,Pitana,gol,gol,1
37,Jugador_460,Boca,Argentina,on-field review,Libertadores de América,Oliver,gol,penal,0
54,Jugador_328,River,Argentina,on-field review,Nuevo Gasómetro,Pitana,gol,gol,1
32,Jugador_474,River,Argentina,silent check,Nuevo Gasómetro,Pitana,roja,roja,1
38,Jugador_78,Liverpool,Premier League,silent check,Stamford Bridge,Pitana,roja,penal,0
24,Jugador_287,Chelsea,Premier League,silent check,Emirates,Pitana,offside,roja,1
4,Jugador_487,River,Argentina,silent check,Libertadores de América,Lousteau,gol,offside,0
81,Jugador_436,Manchester City,Premier League,silent check,Tottenham Stadium,Taylor,offside,gol,1
30,Jugador_17,Manchester United,Premier League,silent check,Etihad,Rapallini,roja,offside,1
20,Jugador_150,Huracán,Argentina,on-field review,Libertadores de América,Lousteau,gol,gol,1
79,Jugador_117,Liverpool,Premier League,on-field review,Old Trafford,Pitana,offside,gol,0
20,Jugador_203,Arsenal,Premier League,on-field review,Old Trafford,Lousteau,gol,penal,0
44,Jugador_118,Arsenal,Premier League,on-field review,Etihad,Tello,penal,offside,0
81,Jugador_171,Independiente,Argentina,silent check,Bombonera,Lousteau,offside,offside,1
23,Jugador_475,San Lorenzo,Argentina,on-field review,Monumental,Oliver,gol,roja,1
60,Jugador_360,Independiente,Argentina,silent check,Libertadores de América,Rapallini,penal,gol,1
67,Jugador_200,Huracán,Argentina,on-field review,Libertadores de América,Taylor,penal,penal,1
91,Jugador_159,Manchester United,Premier League,on-field review,Tottenham Stadium,Tello,gol,penal,1
51,Jugador_391,Newcastle,Premier League,silent check,Stamford Bridge,Atkinson,roja,gol,1
79,Jugador_120,Aston Villa,Premier League,silent check,Stamford Bridge,Lousteau,offside,offside,0
93,Jugador_358,Racing,Argentina,on-field review,Monumental,Rapallini,roja,offside,0
33,Jugador_202,Boca,Argentina,silent check,Tomás Ducó,Atkinson,gol,roja,0
48,Jugador_11,Newcastle,Premier League,silent check,Old Trafford,Rapallini,penal,gol,0
55,Jugador_339,San Lorenzo,Argentina,silent check,Tomás Ducó,Pitana,penal,gol,1
69,Jugador_486,Newcastle,Premier League,silent check,Stamford Bridge,Oliver,gol,roja,1
94,Jugador_239,Racing,Argentina,on-field review,Tomás Ducó,Dean,gol,offside,0
14,Jugador_99,Manchester City,Premier League,on-field review,Old Trafford,Atkinson,roja,roja,0
83,Jugador_438,Manchester City,Premier League,silent check,Anfield,Dean,roja,roja,0
26,Jugador_224,Manchester United,Premier League,silent check,Stamford Bridge,Lousteau,roja,offside,0
90,Jugador_178,Independiente,Argentina,on-field review,Bombonera,Dean,gol,roja,0
81,Jugador_184,River,Argentina,silent check,Libertadores de América,Lousteau,gol,penal,0
36,Jugador_250,Manchester City,Premier League,on-field review,Anfield,Lousteau,penal,offside,0
43,Jugador_384,Manchester United,Premier League,on-field review,Anfield,Dean,gol,roja,1
65,Jugador_454,Arsenal,Premier League,silent check,Tottenham Stadium,Lousteau,penal,gol,1
